Train R,d,p,w,s,l,f,Features,TP,FP,TN,FN,Acc.,Prec.,Rec.,F1
50,10,1,0,18,5,None,"sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,9,None,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,9,log2,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,9,sqrt,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,9,None,"a, e",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,9,None,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,9,log2,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,9,None,"a, e, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,9,None,"a, e, sinI, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,9,sqrt,"a, e, sinI, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,9,None,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,9,log2,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,9,sqrt,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,9,None,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,9,sqrt,"a, n, sinI",87,11,47256,4,1.0,0.888,0.956,0.921
50,10,1,0,18,9,None,"a, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,9,None,"e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,9,sqrt,"e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,9,None,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,9,log2,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,9,sqrt,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,9,None,"sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,13,None,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,13,log2,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,13,sqrt,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,13,None,"a, e",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,13,None,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,13,log2,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,13,None,"a, e, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,13,log2,"a, e, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,13,None,"a, e, sinI, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,13,log2,"a, e, sinI, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,13,None,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,13,log2,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,13,sqrt,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,13,None,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,13,log2,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,13,sqrt,"a, n, sinI",87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,13,None,"a, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,13,None,"e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,13,None,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,13,log2,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,13,sqrt,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,13,None,"sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,13,sqrt,"sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,17,None,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,17,log2,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,17,sqrt,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,17,None,"a, e",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,17,None,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,17,log2,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,17,sqrt,"a, e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,17,None,"a, e, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,17,None,"a, e, sinI, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,17,sqrt,"a, e, sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,17,None,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,17,log2,"a, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,17,sqrt,"a, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,17,None,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,17,log2,"a, n, sinI",87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,17,sqrt,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,17,None,"a, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,1,0,18,17,None,"e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,17,None,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,17,log2,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,17,sqrt,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,17,None,"sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,10,1,0,18,17,sqrt,"sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,10,2,0,2,5,log2,"a, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,2,0,10,5,sqrt,"a, e, sinI, n",83,8,47259,8,1.0,0.912,0.912,0.912
50,10,2,0,14,1,log2,"a, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,3,0,2,9,log2,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,10,3,0,14,5,sqrt,"a, e, n",83,8,47259,8,1.0,0.912,0.912,0.912
50,10,3,0,14,5,sqrt,"a, e, sinI, n",83,8,47259,8,1.0,0.912,0.912,0.912
50,10,3,0,14,5,log2,"a, sinI",85,8,47259,6,1.0,0.914,0.934,0.924
50,10,3,0,18,1,log2,"a, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,5,None,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,5,log2,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,5,sqrt,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,5,None,"a, e",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,5,None,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,5,None,"a, e, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,5,None,"a, e, sinI, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,5,sqrt,"a, e, sinI, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,5,None,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,5,log2,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,5,None,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,5,log2,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,5,sqrt,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,5,None,"a, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,5,None,"e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,5,sqrt,"e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,5,None,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,5,log2,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,5,sqrt,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,5,None,"sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,5,log2,"sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,9,None,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,9,log2,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,9,sqrt,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,9,None,"a, e",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,9,None,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,9,log2,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,9,None,"a, e, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,9,None,"a, e, sinI, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,9,sqrt,"a, e, sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,9,None,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,9,log2,"a, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,9,sqrt,"a, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,9,None,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,9,log2,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,9,None,"a, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,9,None,"e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,9,None,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,9,log2,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,9,sqrt,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,9,None,"sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,13,None,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,13,log2,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,13,sqrt,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,13,None,"a, e",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,13,None,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,13,sqrt,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,13,None,"a, e, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,13,None,"a, e, sinI, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,13,log2,"a, e, sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,13,sqrt,"a, e, sinI, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,13,None,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,13,log2,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,13,sqrt,"a, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,13,None,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,13,log2,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,13,sqrt,"a, n, sinI",87,11,47256,4,1.0,0.888,0.956,0.921
50,20,1,0,2,13,None,"a, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,13,None,"e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,13,log2,"e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,13,None,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,13,log2,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,13,sqrt,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,13,None,"sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,13,sqrt,"sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,17,None,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,17,log2,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,17,sqrt,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,17,None,"a, e",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,17,log2,"a, e",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,17,sqrt,"a, e",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,17,None,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,17,log2,"a, e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,17,None,"a, e, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,17,None,"a, e, sinI, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,17,log2,"a, e, sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,17,sqrt,"a, e, sinI, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,17,None,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,17,log2,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,17,sqrt,"a, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,17,None,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,17,None,"a, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,2,17,None,"e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,17,None,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,17,log2,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,17,sqrt,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,2,17,None,"sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,5,None,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,5,log2,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,5,sqrt,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,5,None,"a, e",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,5,None,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,5,log2,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,5,None,"a, e, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,5,None,"a, e, sinI, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,5,sqrt,"a, e, sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,5,None,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,5,log2,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,5,sqrt,"a, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,5,None,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,5,sqrt,"a, n, sinI",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,5,None,"a, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,5,None,"e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,5,sqrt,"e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,5,None,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,5,log2,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,5,sqrt,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,5,None,"sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,9,None,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,9,log2,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,9,sqrt,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,9,None,"a, e",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,9,log2,"a, e",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,9,sqrt,"a, e",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,9,None,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,9,sqrt,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,9,None,"a, e, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,9,None,"a, e, sinI, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,9,None,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,9,log2,"a, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,9,sqrt,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,9,None,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,9,log2,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,9,sqrt,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,9,None,"a, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,9,None,"e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,9,log2,"e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,9,None,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,9,log2,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,9,sqrt,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,9,None,"sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,9,sqrt,"sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,13,None,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,13,log2,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,13,sqrt,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,13,None,"a, e",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,13,None,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,13,None,"a, e, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,13,log2,"a, e, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,13,None,"a, e, sinI, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,13,sqrt,"a, e, sinI, n",83,8,47259,8,1.0,0.912,0.912,0.912
50,20,1,0,6,13,None,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,13,log2,"a, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,13,sqrt,"a, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,13,None,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,13,None,"a, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,13,None,"e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,13,None,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,13,log2,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,13,sqrt,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,13,None,"sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,13,sqrt,"sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,17,None,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,17,log2,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,17,sqrt,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,17,None,"a, e",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,17,sqrt,"a, e",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,17,None,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,17,sqrt,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,17,None,"a, e, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,17,None,"a, e, sinI, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,17,log2,"a, e, sinI, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,17,sqrt,"a, e, sinI, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,17,None,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,17,log2,"a, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,17,sqrt,"a, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,17,None,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,17,log2,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,17,sqrt,"a, n, sinI",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,17,None,"a, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,6,17,None,"e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,17,None,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,17,log2,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,17,sqrt,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,6,17,None,"sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,10,1,sqrt,"a, n, sinI",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,10,5,None,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,5,log2,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,5,sqrt,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,5,None,"a, e",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,5,None,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,5,log2,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,5,None,"a, e, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,5,None,"a, e, sinI, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,5,None,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,5,log2,"a, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,10,5,sqrt,"a, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,10,5,None,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,5,log2,"a, n, sinI",84,8,47259,7,1.0,0.913,0.923,0.918
50,20,1,0,10,5,None,"a, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,5,None,"e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,10,5,None,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,10,5,log2,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,10,5,sqrt,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,10,5,None,"sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,10,5,sqrt,"sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,10,9,None,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,9,log2,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,9,sqrt,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,9,None,"a, e",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,9,None,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,9,None,"a, e, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,9,None,"a, e, sinI, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,9,log2,"a, e, sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,10,9,None,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,9,log2,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,9,sqrt,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,9,None,"a, n, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,9,None,"a, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,9,log2,"a, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,9,None,"e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,10,9,log2,"e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,10,9,sqrt,"e, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,10,9,None,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,10,9,log2,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,10,9,sqrt,n,87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,10,9,None,"sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,10,13,None,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,13,log2,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,13,sqrt,a,84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,13,None,"a, e",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,13,None,"a, e, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,13,None,"a, e, sinI",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,13,None,"a, e, sinI, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,13,sqrt,"a, e, sinI, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,10,13,None,"a, n",84,9,47258,7,1.0,0.903,0.923,0.913
50,20,1,0,10,13,log2,"a, n",87,12,47255,4,1.0,0.879,0.956,0.916
50,20,1,0,10,13,sqrt,"a, n",87,12,47255,4,1.0,0.879,0.956,0.916
